id,name,description,price,category,clinic_id
1,Khám chuyên khoa Nội tổng quát,Khám tư vấn sức khỏe chuyên khoa Nội tổng quát,200000,Nội tổng quát,1
2,Khám chuyên khoa Nhi khoa,Khám tư vấn sức khỏe chuyên khoa Nhi khoa,250000,Nhi khoa,1
3,Khám chuyên khoa Sản phụ khoa,Khám tư vấn sức khỏe chuyên khoa Sản phụ khoa,300000,Sản phụ khoa,1
4,Khám chuyên khoa Tai Mũi Họng,Khám tư vấn sức khỏe chuyên khoa Tai Mũi Họng,250000,Tai Mũi Họng,1
5,Khám chuyên khoa Mắt,Khám tư vấn sức khỏe chuyên khoa Mắt,150000,Mắt,1
6,Khám chuyên khoa Răng Hàm Mặt,Khám tư vấn sức khỏe chuyên khoa Răng Hàm Mặt,500000,Răng Hàm Mặt,1
7,Khám chuyên khoa Da liễu,Khám tư vấn sức khỏe chuyên khoa Da liễu,400000,Da liễu,1
8,Khám chuyên khoa Tim mạch,Khám tư vấn sức khỏe chuyên khoa Tim mạch,500000,Tim mạch,1
9,Khám chuyên khoa Tiêu hóa - Gan mật,Khám tư vấn sức khỏe chuyên khoa Tiêu hóa - Gan mật,250000,Tiêu hóa - Gan mật,1
10,Khám chuyên khoa Cơ xương khớp,Khám tư vấn sức khỏe chuyên khoa Cơ xương khớp,300000,Cơ xương khớp,1
11,Khám chuyên khoa Nội tiết,Khám tư vấn sức khỏe chuyên khoa Nội tiết,300000,Nội tiết,1
12,Khám chuyên khoa Hô hấp,Khám tư vấn sức khỏe chuyên khoa Hô hấp,200000,Hô hấp,1
13,Khám chuyên khoa Thần kinh,Khám tư vấn sức khỏe chuyên khoa Thần kinh,200000,Thần kinh,1
14,Khám chuyên khoa Thận - Tiết niệu,Khám tư vấn sức khỏe chuyên khoa Thận - Tiết niệu,250000,Thận - Tiết niệu,1
15,Khám chuyên khoa Ngoại tổng quát,Khám tư vấn sức khỏe chuyên khoa Ngoại tổng quát,500000,Ngoại tổng quát,1
16,Khám chuyên khoa Ngoại chấn thương chỉnh hình,Khám tư vấn sức khỏe chuyên khoa Ngoại chấn thương chỉnh hình,500000,Ngoại chấn thương chỉnh hình,1
17,Khám chuyên khoa Ngoại thần kinh / Cột sống,Khám tư vấn sức khỏe chuyên khoa Ngoại thần kinh / Cột sống,200000,Ngoại thần kinh / Cột sống,1
18,Khám chuyên khoa Y học cổ truyền,Khám tư vấn sức khỏe chuyên khoa Y học cổ truyền,200000,Y học cổ truyền,1
19,Khám chuyên khoa Phục hồi chức năng,Khám tư vấn sức khỏe chuyên khoa Phục hồi chức năng,250000,Phục hồi chức năng,1
20,Khám chuyên khoa Ung bướu / Tầm soát ung thư,Khám tư vấn sức khỏe chuyên khoa Ung bướu / Tầm soát ung thư,400000,Ung bướu / Tầm soát ung thư,1
21,Khám chuyên khoa Sức khỏe tâm thần,Khám tư vấn sức khỏe chuyên khoa Sức khỏe tâm thần,150000,Sức khỏe tâm thần,1
22,Khám chuyên khoa Dinh dưỡng,Khám tư vấn sức khỏe chuyên khoa Dinh dưỡng,200000,Dinh dưỡng,1
23,Khám chuyên khoa Nội tổng quát,Khám tư vấn sức khỏe chuyên khoa Nội tổng quát,150000,Nội tổng quát,2
24,Khám chuyên khoa Nhi khoa,Khám tư vấn sức khỏe chuyên khoa Nhi khoa,500000,Nhi khoa,2
25,Khám chuyên khoa Sản phụ khoa,Khám tư vấn sức khỏe chuyên khoa Sản phụ khoa,200000,Sản phụ khoa,2
26,Khám chuyên khoa Tai Mũi Họng,Khám tư vấn sức khỏe chuyên khoa Tai Mũi Họng,500000,Tai Mũi Họng,2
27,Khám chuyên khoa Mắt,Khám tư vấn sức khỏe chuyên khoa Mắt,200000,Mắt,2
28,Khám chuyên khoa Răng Hàm Mặt,Khám tư vấn sức khỏe chuyên khoa Răng Hàm Mặt,150000,Răng Hàm Mặt,2
29,Khám chuyên khoa Da liễu,Khám tư vấn sức khỏe chuyên khoa Da liễu,300000,Da liễu,2
30,Khám chuyên khoa Tim mạch,Khám tư vấn sức khỏe chuyên khoa Tim mạch,150000,Tim mạch,2
31,Khám chuyên khoa Tiêu hóa - Gan mật,Khám tư vấn sức khỏe chuyên khoa Tiêu hóa - Gan mật,200000,Tiêu hóa - Gan mật,2
32,Khám chuyên khoa Cơ xương khớp,Khám tư vấn sức khỏe chuyên khoa Cơ xương khớp,250000,Cơ xương khớp,2
33,Khám chuyên khoa Nội tiết,Khám tư vấn sức khỏe chuyên khoa Nội tiết,250000,Nội tiết,2
34,Khám chuyên khoa Hô hấp,Khám tư vấn sức khỏe chuyên khoa Hô hấp,400000,Hô hấp,2
35,Khám chuyên khoa Thần kinh,Khám tư vấn sức khỏe chuyên khoa Thần kinh,250000,Thần kinh,2
36,Khám chuyên khoa Thận - Tiết niệu,Khám tư vấn sức khỏe chuyên khoa Thận - Tiết niệu,400000,Thận - Tiết niệu,2
37,Khám chuyên khoa Ngoại tổng quát,Khám tư vấn sức khỏe chuyên khoa Ngoại tổng quát,250000,Ngoại tổng quát,2
38,Khám chuyên khoa Ngoại chấn thương chỉnh hình,Khám tư vấn sức khỏe chuyên khoa Ngoại chấn thương chỉnh hình,150000,Ngoại chấn thương chỉnh hình,2
39,Khám chuyên khoa Ngoại thần kinh / Cột sống,Khám tư vấn sức khỏe chuyên khoa Ngoại thần kinh / Cột sống,500000,Ngoại thần kinh / Cột sống,2
40,Khám chuyên khoa Y học cổ truyền,Khám tư vấn sức khỏe chuyên khoa Y học cổ truyền,400000,Y học cổ truyền,2
41,Khám chuyên khoa Phục hồi chức năng,Khám tư vấn sức khỏe chuyên khoa Phục hồi chức năng,250000,Phục hồi chức năng,2
42,Khám chuyên khoa Ung bướu / Tầm soát ung thư,Khám tư vấn sức khỏe chuyên khoa Ung bướu / Tầm soát ung thư,200000,Ung bướu / Tầm soát ung thư,2
43,Khám chuyên khoa Sức khỏe tâm thần,Khám tư vấn sức khỏe chuyên khoa Sức khỏe tâm thần,200000,Sức khỏe tâm thần,2
44,Khám chuyên khoa Dinh dưỡng,Khám tư vấn sức khỏe chuyên khoa Dinh dưỡng,300000,Dinh dưỡng,2
45,Khám chuyên khoa Nội tổng quát,Khám tư vấn sức khỏe chuyên khoa Nội tổng quát,300000,Nội tổng quát,3
46,Khám chuyên khoa Nhi khoa,Khám tư vấn sức khỏe chuyên khoa Nhi khoa,250000,Nhi khoa,3
47,Khám chuyên khoa Sản phụ khoa,Khám tư vấn sức khỏe chuyên khoa Sản phụ khoa,200000,Sản phụ khoa,3
48,Khám chuyên khoa Tai Mũi Họng,Khám tư vấn sức khỏe chuyên khoa Tai Mũi Họng,500000,Tai Mũi Họng,3
49,Khám chuyên khoa Mắt,Khám tư vấn sức khỏe chuyên khoa Mắt,500000,Mắt,3
50,Khám chuyên khoa Răng Hàm Mặt,Khám tư vấn sức khỏe chuyên khoa Răng Hàm Mặt,250000,Răng Hàm Mặt,3
51,Khám chuyên khoa Da liễu,Khám tư vấn sức khỏe chuyên khoa Da liễu,150000,Da liễu,3
52,Khám chuyên khoa Tim mạch,Khám tư vấn sức khỏe chuyên khoa Tim mạch,250000,Tim mạch,3
53,Khám chuyên khoa Tiêu hóa - Gan mật,Khám tư vấn sức khỏe chuyên khoa Tiêu hóa - Gan mật,250000,Tiêu hóa - Gan mật,3
54,Khám chuyên khoa Cơ xương khớp,Khám tư vấn sức khỏe chuyên khoa Cơ xương khớp,500000,Cơ xương khớp,3
55,Khám chuyên khoa Nội tiết,Khám tư vấn sức khỏe chuyên khoa Nội tiết,500000,Nội tiết,3
56,Khám chuyên khoa Hô hấp,Khám tư vấn sức khỏe chuyên khoa Hô hấp,300000,Hô hấp,3
57,Khám chuyên khoa Thần kinh,Khám tư vấn sức khỏe chuyên khoa Thần kinh,250000,Thần kinh,3
58,Khám chuyên khoa Thận - Tiết niệu,Khám tư vấn sức khỏe chuyên khoa Thận - Tiết niệu,150000,Thận - Tiết niệu,3
59,Khám chuyên khoa Ngoại tổng quát,Khám tư vấn sức khỏe chuyên khoa Ngoại tổng quát,150000,Ngoại tổng quát,3
60,Khám chuyên khoa Ngoại chấn thương chỉnh hình,Khám tư vấn sức khỏe chuyên khoa Ngoại chấn thương chỉnh hình,200000,Ngoại chấn thương chỉnh hình,3
61,Khám chuyên khoa Ngoại thần kinh / Cột sống,Khám tư vấn sức khỏe chuyên khoa Ngoại thần kinh / Cột sống,300000,Ngoại thần kinh / Cột sống,3
62,Khám chuyên khoa Y học cổ truyền,Khám tư vấn sức khỏe chuyên khoa Y học cổ truyền,250000,Y học cổ truyền,3
63,Khám chuyên khoa Phục hồi chức năng,Khám tư vấn sức khỏe chuyên khoa Phục hồi chức năng,200000,Phục hồi chức năng,3
64,Khám chuyên khoa Ung bướu / Tầm soát ung thư,Khám tư vấn sức khỏe chuyên khoa Ung bướu / Tầm soát ung thư,150000,Ung bướu / Tầm soát ung thư,3
65,Khám chuyên khoa Sức khỏe tâm thần,Khám tư vấn sức khỏe chuyên khoa Sức khỏe tâm thần,150000,Sức khỏe tâm thần,3
66,Khám chuyên khoa Dinh dưỡng,Khám tư vấn sức khỏe chuyên khoa Dinh dưỡng,400000,Dinh dưỡng,3
67,Khám chuyên khoa Nội tổng quát,Khám tư vấn sức khỏe chuyên khoa Nội tổng quát,500000,Nội tổng quát,4
68,Khám chuyên khoa Nhi khoa,Khám tư vấn sức khỏe chuyên khoa Nhi khoa,400000,Nhi khoa,4
69,Khám chuyên khoa Sản phụ khoa,Khám tư vấn sức khỏe chuyên khoa Sản phụ khoa,200000,Sản phụ khoa,4
70,Khám chuyên khoa Tai Mũi Họng,Khám tư vấn sức khỏe chuyên khoa Tai Mũi Họng,250000,Tai Mũi Họng,4
71,Khám chuyên khoa Mắt,Khám tư vấn sức khỏe chuyên khoa Mắt,200000,Mắt,4
72,Khám chuyên khoa Răng Hàm Mặt,Khám tư vấn sức khỏe chuyên khoa Răng Hàm Mặt,300000,Răng Hàm Mặt,4
73,Khám chuyên khoa Da liễu,Khám tư vấn sức khỏe chuyên khoa Da liễu,150000,Da liễu,4
74,Khám chuyên khoa Tim mạch,Khám tư vấn sức khỏe chuyên khoa Tim mạch,300000,Tim mạch,4
75,Khám chuyên khoa Tiêu hóa - Gan mật,Khám tư vấn sức khỏe chuyên khoa Tiêu hóa - Gan mật,300000,Tiêu hóa - Gan mật,4
76,Khám chuyên khoa Cơ xương khớp,Khám tư vấn sức khỏe chuyên khoa Cơ xương khớp,300000,Cơ xương khớp,4
77,Khám chuyên khoa Nội tiết,Khám tư vấn sức khỏe chuyên khoa Nội tiết,250000,Nội tiết,4
78,Khám chuyên khoa Hô hấp,Khám tư vấn sức khỏe chuyên khoa Hô hấp,300000,Hô hấp,4
79,Khám chuyên khoa Thần kinh,Khám tư vấn sức khỏe chuyên khoa Thần kinh,150000,Thần kinh,4
80,Khám chuyên khoa Thận - Tiết niệu,Khám tư vấn sức khỏe chuyên khoa Thận - Tiết niệu,200000,Thận - Tiết niệu,4
81,Khám chuyên khoa Ngoại tổng quát,Khám tư vấn sức khỏe chuyên khoa Ngoại tổng quát,150000,Ngoại tổng quát,4
82,Khám chuyên khoa Ngoại chấn thương chỉnh hình,Khám tư vấn sức khỏe chuyên khoa Ngoại chấn thương chỉnh hình,300000,Ngoại chấn thương chỉnh hình,4
83,Khám chuyên khoa Ngoại thần kinh / Cột sống,Khám tư vấn sức khỏe chuyên khoa Ngoại thần kinh / Cột sống,250000,Ngoại thần kinh / Cột sống,4
84,Khám chuyên khoa Y học cổ truyền,Khám tư vấn sức khỏe chuyên khoa Y học cổ truyền,250000,Y học cổ truyền,4
85,Khám chuyên khoa Phục hồi chức năng,Khám tư vấn sức khỏe chuyên khoa Phục hồi chức năng,400000,Phục hồi chức năng,4
86,Khám chuyên khoa Ung bướu / Tầm soát ung thư,Khám tư vấn sức khỏe chuyên khoa Ung bướu / Tầm soát ung thư,150000,Ung bướu / Tầm soát ung thư,4
87,Khám chuyên khoa Sức khỏe tâm thần,Khám tư vấn sức khỏe chuyên khoa Sức khỏe tâm thần,150000,Sức khỏe tâm thần,4
88,Khám chuyên khoa Dinh dưỡng,Khám tư vấn sức khỏe chuyên khoa Dinh dưỡng,400000,Dinh dưỡng,4
89,Khám chuyên khoa Nội tổng quát,Khám tư vấn sức khỏe chuyên khoa Nội tổng quát,400000,Nội tổng quát,5
90,Khám chuyên khoa Nhi khoa,Khám tư vấn sức khỏe chuyên khoa Nhi khoa,150000,Nhi khoa,5
91,Khám chuyên khoa Sản phụ khoa,Khám tư vấn sức khỏe chuyên khoa Sản phụ khoa,400000,Sản phụ khoa,5
92,Khám chuyên khoa Tai Mũi Họng,Khám tư vấn sức khỏe chuyên khoa Tai Mũi Họng,400000,Tai Mũi Họng,5
93,Khám chuyên khoa Mắt,Khám tư vấn sức khỏe chuyên khoa Mắt,500000,Mắt,5
94,Khám chuyên khoa Răng Hàm Mặt,Khám tư vấn sức khỏe chuyên khoa Răng Hàm Mặt,150000,Răng Hàm Mặt,5
95,Khám chuyên khoa Da liễu,Khám tư vấn sức khỏe chuyên khoa Da liễu,500000,Da liễu,5
96,Khám chuyên khoa Tim mạch,Khám tư vấn sức khỏe chuyên khoa Tim mạch,500000,Tim mạch,5
97,Khám chuyên khoa Tiêu hóa - Gan mật,Khám tư vấn sức khỏe chuyên khoa Tiêu hóa - Gan mật,250000,Tiêu hóa - Gan mật,5
98,Khám chuyên khoa Cơ xương khớp,Khám tư vấn sức khỏe chuyên khoa Cơ xương khớp,200000,Cơ xương khớp,5
99,Khám chuyên khoa Nội tiết,Khám tư vấn sức khỏe chuyên khoa Nội tiết,150000,Nội tiết,5
100,Khám chuyên khoa Hô hấp,Khám tư vấn sức khỏe chuyên khoa Hô hấp,200000,Hô hấp,5
101,Khám chuyên khoa Thần kinh,Khám tư vấn sức khỏe chuyên khoa Thần kinh,200000,Thần kinh,5
102,Khám chuyên khoa Thận - Tiết niệu,Khám tư vấn sức khỏe chuyên khoa Thận - Tiết niệu,150000,Thận - Tiết niệu,5
103,Khám chuyên khoa Ngoại tổng quát,Khám tư vấn sức khỏe chuyên khoa Ngoại tổng quát,300000,Ngoại tổng quát,5
104,Khám chuyên khoa Ngoại chấn thương chỉnh hình,Khám tư vấn sức khỏe chuyên khoa Ngoại chấn thương chỉnh hình,400000,Ngoại chấn thương chỉnh hình,5
105,Khám chuyên khoa Ngoại thần kinh / Cột sống,Khám tư vấn sức khỏe chuyên khoa Ngoại thần kinh / Cột sống,200000,Ngoại thần kinh / Cột sống,5
106,Khám chuyên khoa Y học cổ truyền,Khám tư vấn sức khỏe chuyên khoa Y học cổ truyền,500000,Y học cổ truyền,5
107,Khám chuyên khoa Phục hồi chức năng,Khám tư vấn sức khỏe chuyên khoa Phục hồi chức năng,200000,Phục hồi chức năng,5
108,Khám chuyên khoa Ung bướu / Tầm soát ung thư,Khám tư vấn sức khỏe chuyên khoa Ung bướu / Tầm soát ung thư,400000,Ung bướu / Tầm soát ung thư,5
109,Khám chuyên khoa Sức khỏe tâm thần,Khám tư vấn sức khỏe chuyên khoa Sức khỏe tâm thần,250000,Sức khỏe tâm thần,5
110,Khám chuyên khoa Dinh dưỡng,Khám tư vấn sức khỏe chuyên khoa Dinh dưỡng,400000,Dinh dưỡng,5
